Typical Measured Spectrum of Semrock FF01-390/18 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
323.0	4.4746e-06
323.2	3.6367e-06
323.4	2.1085e-06
323.6	2.0349e-06
323.8	1.9586e-06
324.0	1.8753e-06
324.2	1.8092e-06
324.4	2.673e-06
324.6	7.6611e-06
324.8	3.5035e-06
325.0	1.9302e-06
325.2	1.5425e-06
325.4	1.521e-06
325.6	1.5122e-06
325.8	1.5436e-06
326.0	3.5302e-06
326.2	6.2533e-06
326.4	7.1957e-06
326.6	5.9516e-06
326.8	4.7026e-06
327.0	2.1258e-06
327.2	1.5033e-06
327.4	1.5205e-06
327.6	1.5292e-06
327.8	1.4362e-06
328.0	1.3854e-06
328.2	1.3456e-06
328.4	1.3109e-06
328.6	1.2808e-06
328.8	1.2798e-06
329.0	1.2967e-06
329.2	1.2591e-06
329.4	1.2111e-06
329.6	1.1851e-06
329.8	1.165e-06
330.0	2.4196e-06
330.2	3.9448e-06
330.4	3.2129e-06
330.6	1.1902e-06
330.8	1.1292e-06
331.0	1.1033e-06
331.2	1.0848e-06
331.4	1.0684e-06
331.6	1.0555e-06
331.8	1.0809e-06
332.0	1.1171e-06
332.2	2.227e-06
332.4	2.6632e-06
332.6	1.0018e-06
332.8	9.875e-07
333.0	9.7589e-07
333.2	9.8255e-07
333.4	1.0071e-06
333.6	1.2042e-06
333.8	2.716e-06
334.0	1.3201e-06
334.2	9.5553e-07
334.4	9.4874e-07
334.6	9.4403e-07
334.8	9.6184e-07
335.0	9.9044e-07
335.2	9.6195e-07
335.4	1.5586e-06
335.6	3.7443e-06
335.8	1.0382e-06
336.0	8.6219e-07
336.2	1.1971e-06
336.4	1.4723e-06
336.6	9.9235e-07
336.8	1.569e-06
337.0	9.9537e-07
337.2	7.9386e-07
337.4	7.8488e-07
337.6	7.7953e-07
337.8	8.0554e-07
338.0	8.4064e-07
338.2	1.6974e-06
338.4	2.011e-06
338.6	7.6338e-07
338.8	7.529e-07
339.0	7.4225e-07
339.2	7.4565e-07
339.4	7.626e-07
339.6	7.7286e-07
339.8	7.211e-07
340.0	1.151e-06
340.2	9.6928e-07
340.4	6.7484e-07
340.6	6.676e-07
340.8	6.9231e-07
341.0	7.2885e-07
341.2	6.9603e-07
341.4	1.0365e-06
341.6	2.4898e-06
341.8	1.966e-06
342.0	8.8991e-07
342.2	6.4102e-07
342.4	6.6714e-07
342.6	6.867e-07
342.8	6.3042e-07
343.0	9.9371e-07
343.2	8.6437e-07
343.4	5.9679e-07
343.6	6.4272e-07
343.8	2.3586e-06
344.0	1.0223e-06
344.2	1.101e-06
344.4	1.2575e-06
344.6	5.8187e-07
344.8	5.7683e-07
345.0	5.7192e-07
345.2	5.8374e-07
345.4	6.116e-07
345.6	6.3002e-07
345.8	5.7404e-07
346.0	1.502e-06
346.2	1.9058e-06
346.4	1.4546e-06
346.6	1.0331e-06
346.8	6.2396e-07
347.0	5.9902e-07
347.2	5.8072e-07
347.4	5.564e-07
347.6	5.5524e-07
347.8	5.5801e-07
348.0	5.621e-07
348.2	5.7938e-07
348.4	6.086e-07
348.6	7.2535e-07
348.8	1.6107e-06
349.0	8.1521e-07
349.2	5.7634e-07
349.4	5.6999e-07
349.6	5.6554e-07
349.8	6.0231e-07
350.0	4.4206e-06
350.2	1.2541e-05
350.4	1.3403e-05
350.6	1.0042e-05
350.8	9.4242e-06
351.0	6.4059e-06
351.2	6.2654e-06
351.4	6.9678e-06
351.6	5.7093e-06
351.8	9.4794e-06
352.0	9.4058e-06
352.2	7.3471e-06
352.4	5.9797e-06
352.6	6.5653e-06
352.8	8.8957e-06
353.0	6.0354e-06
353.2	7.6064e-06
353.4	1.0981e-05
353.6	1.0833e-05
353.8	1.0749e-05
354.0	9.8277e-06
354.2	9.0565e-06
354.4	9.3279e-06
354.6	1.1037e-05
354.8	9.1096e-06
355.0	8.818e-06
355.2	9.6034e-06
355.4	1.1167e-05
355.6	1.3175e-05
355.8	1.6387e-05
356.0	1.547e-05
356.2	1.5656e-05
356.4	1.5197e-05
356.6	1.2742e-05
356.8	1.1221e-05
357.0	1.5863e-05
357.2	1.7852e-05
357.4	1.7914e-05
357.6	2.127e-05
357.8	2.0583e-05
358.0	2.4822e-05
358.2	2.9878e-05
358.4	3.359e-05
358.6	3.4523e-05
358.8	3.7105e-05
359.0	3.8602e-05
359.2	3.9527e-05
359.4	3.9562e-05
359.6	3.9626e-05
359.8	4.7419e-05
360.0	4.6777e-05
360.2	4.8627e-05
360.4	5.4052e-05
360.6	6.1148e-05
360.8	6.8285e-05
361.0	6.6404e-05
361.2	6.4807e-05
361.4	6.4809e-05
361.6	6.6184e-05
361.8	6.5724e-05
362.0	6.3542e-05
362.2	5.9947e-05
362.4	5.8121e-05
362.6	5.9455e-05
362.8	5.9042e-05
363.0	5.5994e-05
363.2	6.1363e-05
363.4	7.2659e-05
363.6	7.9114e-05
363.8	8.5803e-05
364.0	1.0015e-04
364.2	1.1753e-04
364.4	1.3833e-04
364.6	1.6546e-04
364.8	2.0829e-04
365.0	2.2882e-04
365.2	2.6279e-04
365.4	3.0642e-04
365.6	3.4603e-04
365.8	3.8958e-04
366.0	4.1855e-04
366.2	4.7361e-04
366.4	5.2372e-04
366.6	5.21e-04
366.8	5.8622e-04
367.0	6.3958e-04
367.2	7.0463e-04
367.4	7.7686e-04
367.6	8.4867e-04
367.8	9.6632e-04
368.0	9.7937e-04
368.2	0.00105
368.4	0.00116
368.6	0.00124
368.8	0.00131
369.0	0.00139
369.2	0.0015
369.4	0.00156
369.6	0.00148
369.8	0.00162
370.0	0.00169
370.2	0.00178
370.4	0.00189
370.6	0.00203
370.8	0.0023
371.0	0.00229
371.2	0.00249
371.4	0.0028
371.6	0.00304
371.8	0.00335
372.0	0.00366
372.2	0.00412
372.4	0.00453
372.6	0.00457
372.8	0.00519
373.0	0.00569
373.2	0.00625
373.4	0.00693
373.6	0.00778
373.8	0.00935
374.0	0.00987
374.2	0.01211
374.4	0.01389
374.6	0.01643
374.8	0.0195
375.0	0.02314
375.2	0.02727
375.4	0.03177
375.6	0.04088
375.8	0.04277
376.0	0.04724
376.2	0.05136
376.4	0.05537
376.6	0.05962
376.8	0.06425
377.0	0.06155
377.2	0.07087
377.4	0.07707
377.6	0.08795
377.8	0.10149
378.0	0.12054
378.2	0.14635
378.4	0.18106
378.6	0.23889
378.8	0.28628
379.0	0.36598
379.2	0.46487
379.4	0.57873
379.6	0.69481
379.8	0.80043
380.0	0.86049
380.2	0.93649
380.4	0.95836
380.6	0.96451
380.8	0.96637
381.0	0.96578
381.2	0.96636
381.4	0.96802
381.6	0.96566
381.8	0.96591
382.0	0.96702
382.2	0.96573
382.4	0.96567
382.6	0.96454
382.8	0.96534
383.0	0.96346
383.2	0.96742
383.4	0.9698
383.6	0.97039
383.8	0.97108
384.0	0.97171
384.2	0.97816
384.4	0.97219
384.6	0.96831
384.8	0.96845
385.0	0.96664
385.2	0.96647
385.4	0.96693
385.6	0.96774
385.8	0.96765
386.0	0.96729
386.2	0.96929
386.4	0.96775
386.6	0.96608
386.8	0.96731
387.0	0.96375
387.2	0.96612
387.4	0.96488
387.6	0.9665
387.8	0.96694
388.0	0.96787
388.2	0.9699
388.4	0.97994
388.6	0.9755
388.8	0.97368
389.0	0.97575
389.2	0.97573
389.4	0.97541
389.6	0.97467
389.8	0.97208
390.0	0.97357
390.2	0.97352
390.4	0.97477
390.6	0.9738
390.8	0.97411
391.0	0.97217
391.2	0.97014
391.4	0.97264
391.6	0.97166
391.8	0.96803
392.0	0.96796
392.2	0.9683
392.4	0.96655
392.6	0.97638
392.8	0.96886
393.0	0.96829
393.2	0.96894
393.4	0.96978
393.6	0.96925
393.8	0.9683
394.0	0.96188
394.2	0.96589
394.4	0.96383
394.6	0.96178
394.8	0.9609
395.0	0.96097
395.2	0.96181
395.4	0.96584
395.6	0.96397
395.8	0.96448
396.0	0.96552
396.2	0.96704
396.4	0.9678
396.6	0.96771
396.8	0.96526
397.0	0.96828
397.2	0.96669
397.4	0.96727
397.6	0.96643
397.8	0.96818
398.0	0.9678
398.2	0.9605
398.4	0.97308
398.6	0.96942
398.8	0.96812
399.0	0.96627
399.2	0.96109
399.4	0.95472
399.6	0.94094
399.8	0.9387
400.0	0.92322
400.2	0.90998
400.4	0.89684
400.6	0.88174
400.8	0.85829
401.0	0.82872
401.2	0.71944
401.4	0.58851
401.6	0.44189
401.8	0.30923
402.0	0.20811
402.2	0.13845
402.4	0.09534
402.6	0.06203
402.8	0.04322
403.0	0.03133
403.2	0.02338
403.4	0.01794
403.6	0.01417
403.8	0.01154
404.0	0.00916
404.2	0.00784
404.4	0.00685
404.6	0.00616
404.8	0.00569
405.0	0.00528
405.2	0.0053
405.4	0.00472
405.6	0.00444
405.8	0.00414
406.0	0.00377
406.2	0.00335
406.4	0.00287
406.6	0.00254
406.8	0.00203
407.0	0.00169
407.2	0.00142
407.4	0.00121
407.6	0.00102
407.8	8.9414e-04
408.0	8.3987e-04
408.2	7.1773e-04
408.4	6.5413e-04
408.6	6.354e-04
408.8	5.9568e-04
409.0	5.5756e-04
409.2	5.5319e-04
409.4	5.6106e-04
409.6	4.8915e-04
409.8	4.4358e-04
410.0	3.9582e-04
410.2	3.4565e-04
410.4	2.9692e-04
410.6	2.3636e-04
410.8	2.185e-04
411.0	1.8056e-04
411.2	1.4658e-04
411.4	1.2644e-04
411.6	1.1537e-04
411.8	9.6838e-05
412.0	9.3298e-05
412.2	8.6327e-05
412.4	7.3553e-05
412.6	7.1194e-05
412.8	6.6523e-05
413.0	7.1208e-05
413.2	6.2827e-05
413.4	5.8493e-05
413.6	6.1607e-05
413.8	5.9787e-05
414.0	4.754e-05
414.2	5.1459e-05
414.4	4.1258e-05
414.6	3.3659e-05
414.8	3.2394e-05
415.0	3.2305e-05
415.2	2.3945e-05
415.4	2.2625e-05
415.6	2.3455e-05
415.8	1.7076e-05
416.0	1.5765e-05
416.2	1.8247e-05
416.4	1.3694e-05
416.6	1.3072e-05
416.8	1.2898e-05
417.0	1.189e-05
417.2	1.099e-05
417.4	9.1538e-06
417.6	1.0666e-05
417.8	1.048e-05
418.0	9.9218e-06
418.2	6.8449e-06
418.4	9.0896e-06
418.6	7.8978e-06
418.8	7.2509e-06
419.0	6.6927e-06
419.2	9.3281e-06
419.4	8.1229e-06
419.6	6.6512e-06
419.8	8.7904e-06
420.0	7.5254e-06
420.2	7.4304e-06
420.4	7.0554e-06
420.6	7.7391e-06
420.8	5.7191e-06
421.0	5.4113e-06
421.2	6.062e-06
421.4	3.8247e-06
421.6	4.6394e-06
421.8	1.6328e-06
422.0	5.1701e-06
422.2	4.5193e-06
422.4	3.6815e-06
422.6	3.7846e-06
422.8	2.5096e-06
423.0	2.2512e-06
423.2	2.1346e-06
423.4	3.3395e-06
423.6	3.3195e-06
423.8	1.2541e-06
424.0	1.8694e-06
424.2	1.5906e-06
424.4	1.5521e-06
424.6	2.1436e-06
424.8	3.4548e-06
425.0	2.4173e-06
425.2	2.9711e-06
425.4	2.2767e-06
425.6	2.8659e-06
425.8	1.4937e-06
426.0	2.6355e-06
426.2	4.4786e-06
426.4	2.275e-06
426.6	1.6741e-06
426.8	2.0917e-06
427.0	1.2266e-06
427.2	3.0403e-06
427.4	4.0376e-06
427.6	1.6522e-06
427.8	2.2708e-06
428.0	2.4491e-06
428.2	2.0799e-06
428.4	1.0347e-06
428.6	1.4248e-06
428.8	1.5431e-06
429.0	1.005e-06
429.2	2.3199e-06
429.4	5.2248e-07
429.6	1.5549e-06
429.8	1.2541e-06
430.0	6.5653e-07
430.2	1.5374e-06
430.4	1.998e-06
430.6	2.5359e-06
430.8	5.2047e-07
431.0	1.5154e-06
431.2	1.2751e-06
431.4	8.1992e-07
431.6	5.4585e-07
431.8	1.506e-06
432.0	2.3671e-06
432.2	2.03e-06
432.4	5.699e-07
432.6	6.5682e-07
432.8	1.3182e-06
433.0	5.2789e-07
433.2	6.8718e-07
433.4	6.2666e-07
433.6	1.8811e-06
433.8	1.1453e-06
434.0	1.6476e-06
434.2	6.539e-07
434.4	2.5587e-06
434.6	2.8723e-06
434.8	9.7289e-07
435.0	5.4664e-08
435.2	5.4506e-08
435.4	5.4372e-08
435.6	5.4219e-08
435.8	5.4073e-08
436.0	5.3947e-08
436.2	5.3836e-08
436.4	1.0612e-07
436.6	6.1038e-08
436.8	5.3598e-08
437.0	5.3493e-08
437.2	7.4441e-08
437.4	2.0483e-07
437.6	6.8268e-08
437.8	8.1227e-08
438.0	6.3953e-08
438.2	5.2887e-08
438.4	5.2734e-08
438.6	5.2584e-08
438.8	5.251e-08
439.0	5.2405e-08
439.2	1.6458e-07
439.4	3.7266e-07
439.6	1.6474e-07
439.8	5.2057e-08
440.0	5.1917e-08
